LocationID	Year	fMonth	ObservationID	Complete	Count
00474e5be7b526f63d3e6655f764d56b7cba8acf	2011	1	a00167faa561a9466726a1e842df183800848cdd	1	4
00474e5be7b526f63d3e6655f764d56b7cba8acf	2011	2	872e41f0c9e6d0f1c6ec2ffdd933fbe7949171bb	1	4
00474e5be7b526f63d3e6655f764d56b7cba8acf	2011	11	607d3d534382b2ef7aae3f3a5f04bdaffa24711a	1	5
00474e5be7b526f63d3e6655f764d56b7cba8acf	2011	12	5a6bb562922e3bd6034c6dd40921d81461d2bab2	1	4
00474e5be7b526f63d3e6655f764d56b7cba8acf	2012	1	1fca724789f85f07086ce44f865ee1a743f21a34	1	4
00474e5be7b526f63d3e6655f764d56b7cba8acf	2012	2	1528f2fadbbf51390f9b7892f4793d891b42c5ec	1	4
00474e5be7b526f63d3e6655f764d56b7cba8acf	2012	11	5357f1dc8a2f2362c10934f966ee47cc6b5c6a42	1	4
00474e5be7b526f63d3e6655f764d56b7cba8acf	2012	12	70136b25e617e0ba7e082f08857f6574e18d8061	1	4
00474e5be7b526f63d3e6655f764d56b7cba8acf	2013	1	7355504dce0bf06dac49107d08f39698405c67d6	1	0
00474e5be7b526f63d3e6655f764d56b7cba8acf	2013	2	c7822178a2b1b2bed06ee9e504473a03d3f02782	1	1
00474e5be7b526f63d3e6655f764d56b7cba8acf	2013	11	e690932a9730dc433b888036f99c1bc968c2c800	1	3
00474e5be7b526f63d3e6655f764d56b7cba8acf	2013	12	7dd3f0a0add404110a00ea05cde2711f3eeca3cd	1	0
00474e5be7b526f63d3e6655f764d56b7cba8acf	2014	1	84011886f4207a7599346a02ed59620bf2415142	1	3
00474e5be7b526f63d3e6655f764d56b7cba8acf	2014	11	f972c6e412f60e5372af5909ee72417480a19e14	1	3
00474e5be7b526f63d3e6655f764d56b7cba8acf	2014	12	6e471530ff8afef0ab44d72722052bbbe34a7732	1	4
0047dac932f4f1e50383f4119d51dad453b75f6e	1992	3	165670	1	0
0047dac932f4f1e50383f4119d51dad453b75f6e	1993	1	96876	1	0
0047dac932f4f1e50383f4119d51dad453b75f6e	1993	2	96895	1	0
0047dac932f4f1e50383f4119d51dad453b75f6e	1993	3	96914	1	0
0047dac932f4f1e50383f4119d51dad453b75f6e	1993	10	96822	1	0
0047dac932f4f1e50383f4119d51dad453b75f6e	1993	11	96839	1	0
0047dac932f4f1e50383f4119d51dad453b75f6e	1993	12	96858	1	0
0047dac932f4f1e50383f4119d51dad453b75f6e	1994	1	92573	1	0
0047dac932f4f1e50383f4119d51dad453b75f6e	1994	2	92599	1	0
0047dac932f4f1e50383f4119d51dad453b75f6e	1994	3	92624	1	0
0047dac932f4f1e50383f4119d51dad453b75f6e	1994	10	92506	1	0
0047dac932f4f1e50383f4119d51dad453b75f6e	1994	11	92531	1	0
0047dac932f4f1e50383f4119d51dad453b75f6e	1994	12	92554	1	0
0047dac932f4f1e50383f4119d51dad453b75f6e	1995	1	105591	1	0
0047dac932f4f1e50383f4119d51dad453b75f6e	1995	2	105606	1	0
0047dac932f4f1e50383f4119d51dad453b75f6e	1995	3	105622	1	0
0047dac932f4f1e50383f4119d51dad453b75f6e	1995	10	105545	1	0
0047dac932f4f1e50383f4119d51dad453b75f6e	1995	11	105562	1	0
0047dac932f4f1e50383f4119d51dad453b75f6e	1995	12	105576	1	0
0047dac932f4f1e50383f4119d51dad453b75f6e	1996	1	94308	1	0
0047dac932f4f1e50383f4119d51dad453b75f6e	1996	2	94330	1	0
0047dac932f4f1e50383f4119d51dad453b75f6e	1996	3	94349	1	0
0047dac932f4f1e50383f4119d51dad453b75f6e	1996	10	94235	1	0
0047dac932f4f1e50383f4119d51dad453b75f6e	1996	11	94259	1	0
0047dac932f4f1e50383f4119d51dad453b75f6e	1996	12	94284	1	0
0047dac932f4f1e50383f4119d51dad453b75f6e	1997	1	97502	1	0
0047dac932f4f1e50383f4119d51dad453b75f6e	1997	2	97528	1	0
0047dac932f4f1e50383f4119d51dad453b75f6e	1997	3	97552	1	0
0047dac932f4f1e50383f4119d51dad453b75f6e	1997	10	97435	1	0
0047dac932f4f1e50383f4119d51dad453b75f6e	1997	11	97459	1	0
0047dac932f4f1e50383f4119d51dad453b75f6e	1997	12	97483	1	0
0047dac932f4f1e50383f4119d51dad453b75f6e	1998	1	100109	1	0
0047dac932f4f1e50383f4119d51dad453b75f6e	1998	2	100133	1	0
0047dac932f4f1e50383f4119d51dad453b75f6e	1998	10	100036	1	0
0047dac932f4f1e50383f4119d51dad453b75f6e	1998	11	100060	1	0
0047dac932f4f1e50383f4119d51dad453b75f6e	1998	12	100084	1	0
0047dac932f4f1e50383f4119d51dad453b75f6e	1999	1	102491	1	0
0047dac932f4f1e50383f4119d51dad453b75f6e	1999	2	102502	1	0
0047dac932f4f1e50383f4119d51dad453b75f6e	1999	10	102421	1	0
0047dac932f4f1e50383f4119d51dad453b75f6e	1999	11	102443	1	0
0047dac932f4f1e50383f4119d51dad453b75f6e	1999	12	102468	1	0
0047dac932f4f1e50383f4119d51dad453b75f6e	2000	1	1109	0	0
0047dac932f4f1e50383f4119d51dad453b75f6e	2000	2	1133	1	0
0047dac932f4f1e50383f4119d51dad453b75f6e	2000	3	1141	1	0
0047dac932f4f1e50383f4119d51dad453b75f6e	2000	10	1059	1	0
0047dac932f4f1e50383f4119d51dad453b75f6e	2000	11	1070	1	0
0047dac932f4f1e50383f4119d51dad453b75f6e	2000	12	1077	1	0
0047dac932f4f1e50383f4119d51dad453b75f6e	2001	1	3828	1	0
0047dac932f4f1e50383f4119d51dad453b75f6e	2001	2	3842	0	0
0047dac932f4f1e50383f4119d51dad453b75f6e	2001	3	3858	1	0
0047dac932f4f1e50383f4119d51dad453b75f6e	2001	10	3770	0	0
0047dac932f4f1e50383f4119d51dad453b75f6e	2001	11	3785	1	0
0047dac932f4f1e50383f4119d51dad453b75f6e	2001	12	3802	1	0
0047dac932f4f1e50383f4119d51dad453b75f6e	2002	1	114586	1	0
0047dac932f4f1e50383f4119d51dad453b75f6e	2002	2	114607	1	0
0047dac932f4f1e50383f4119d51dad453b75f6e	2002	3	114623	1	0
0047dac932f4f1e50383f4119d51dad453b75f6e	2002	10	114516	1	0
0047dac932f4f1e50383f4119d51dad453b75f6e	2002	11	114526	1	0
0047dac932f4f1e50383f4119d51dad453b75f6e	2002	12	114547	1	0
0047dac932f4f1e50383f4119d51dad453b75f6e	2003	1	140321	1	0
0047dac932f4f1e50383f4119d51dad453b75f6e	2003	2	140360	1	0
0047dac932f4f1e50383f4119d51dad453b75f6e	2003	3	140380	1	0
0047dac932f4f1e50383f4119d51dad453b75f6e	2003	10	140187	1	0
0047dac932f4f1e50383f4119d51dad453b75f6e	2003	11	140248	1	0
0047dac932f4f1e50383f4119d51dad453b75f6e	2003	12	140291	1	0
0047dac932f4f1e50383f4119d51dad453b75f6e	2004	1	149571	1	0
0047dac932f4f1e50383f4119d51dad453b75f6e	2004	3	149599	1	0
0047dac932f4f1e50383f4119d51dad453b75f6e	2004	10	149525	1	0
0047dac932f4f1e50383f4119d51dad453b75f6e	2004	11	149540	1	0
0047dac932f4f1e50383f4119d51dad453b75f6e	2004	12	149557	0	0
0047dac932f4f1e50383f4119d51dad453b75f6e	2005	1	147385	1	0
0047dac932f4f1e50383f4119d51dad453b75f6e	2005	2	147399	1	0
0047dac932f4f1e50383f4119d51dad453b75f6e	2005	3	147411	1	0
0047dac932f4f1e50383f4119d51dad453b75f6e	2005	10	147343	1	0
0047dac932f4f1e50383f4119d51dad453b75f6e	2005	11	147357	1	0
0047dac932f4f1e50383f4119d51dad453b75f6e	2005	12	147370	1	0
0047dac932f4f1e50383f4119d51dad453b75f6e	2006	1	150878	1	0
0047dac932f4f1e50383f4119d51dad453b75f6e	2006	2	150901	1	1
0047dac932f4f1e50383f4119d51dad453b75f6e	2006	10	150820	1	0
0047dac932f4f1e50383f4119d51dad453b75f6e	2006	11	150843	1	0
0047dac932f4f1e50383f4119d51dad453b75f6e	2006	12	150863	1	3
0047dac932f4f1e50383f4119d51dad453b75f6e	2007	1	156841	1	0
0047dac932f4f1e50383f4119d51dad453b75f6e	2007	2	156857	1	0
0047dac932f4f1e50383f4119d51dad453b75f6e	2007	10	156766	1	0
0047dac932f4f1e50383f4119d51dad453b75f6e	2007	11	156807	1	14
0047dac932f4f1e50383f4119d51dad453b75f6e	2007	12	156824	1	4
0047dac932f4f1e50383f4119d51dad453b75f6e	2008	1	164020	1	0
0047dac932f4f1e50383f4119d51dad453b75f6e	2008	2	164039	1	2
0047dac932f4f1e50383f4119d51dad453b75f6e	2008	3	164055	1	10
